"Activity";"Stage in family cycle";"Men 1987-1988";"Men 1999-2000";"Men 2009-2010";"Women 1987-1988";"Women 1999-2000";"Women 2009-2010"
"13     Travel related to study";"Aged over 45, married or cohibiting, no children";0.00;0.00;0.00;0.00;0.00;0.00
"13     Travel related to study";"Aged over 45, single, no children";0.00;0.02;0.00;0.00;0.00;0.00
"14     Free time study (incl. related travel)";"Aged under 45, single, no children, living with parents";0.03;0.02;0.01;0.05;0.03;0.02
"14     Free time study (incl. related travel)";"Aged under 45, single, no children, living elsewhere";0.05;0.08;0.00;0.06;0.01;0.00
"14     Free time study (incl. related travel)";"Single parent";.;.;.;0.02;0.02;0.05
"14     Free time study (incl. related travel)";"Aged under 45, married or cohabiting, no children";0.04;0.01;0.02;0.03;0.03;0.04
"14     Free time study (incl. related travel)";"Married or cohabiting, youngest child aged 0-6";0.02;0.00;0.00;0.05;0.01;0.01
"14     Free time study (incl. related travel)";"Married or cohabiting, youngest child aged 7-17";0.05;0.04;0.01;0.04;0.04;0.05
"14     Free time study (incl. related travel)";"Aged over 45, married or cohibiting, no children";0.02;0.03;0.02;0.02;0.02;0.02
"14     Free time study (incl. related travel)";"Aged over 45, single, no children";0.01;0.01;0.00;0.02;0.01;0.03
"15     Participatory activity";"Aged under 45, single, no children, living with parents";0.04;0.05;0.07;0.08;0.09;0.05
"15     Participatory activity";"Aged under 45, single, no children, living elsewhere";0.05;0.01;0.04;0.11;0.04;0.06
"15     Participatory activity";"Single parent";.;.;.;0.05;0.08;0.08
"15     Participatory activity";"Aged under 45, married or cohabiting, no children";0.04;0.07;0.05;0.04;0.02;0.03
"15     Participatory activity";"Married or cohabiting, youngest child aged 0-6";0.09;0.08;0.04;0.06;0.05;0.05
"15     Participatory activity";"Married or cohabiting, youngest child aged 7-17";0.11;0.12;0.10;0.06;0.06;0.06
"15     Participatory activity";"Aged over 45, married or cohibiting, no children";0.10;0.10;0.10;0.08;0.08;0.06
"15     Participatory activity";"Aged over 45, single, no children";0.08;0.05;0.06;0.13;0.11;0.09
"16     Sports and outdoor activities";"Aged under 45, single, no children, living with parents";0.54;1.07;0.57;0.39;0.42;0.46
"16     Sports and outdoor activities";"Aged under 45, single, no children, living elsewhere";0.41;0.36;0.37;0.28;0.41;0.39
"16     Sports and outdoor activities";"Single parent";.;.;.;0.25;0.37;0.22
"16     Sports and outdoor activities";"Aged under 45, married or cohabiting, no children";0.34;0.39;0.45;0.30;0.30;0.38
"16     Sports and outdoor activities";"Married or cohabiting, youngest child aged 0-6";0.28;0.27;0.29;0.18;0.21;0.24
"16     Sports and outdoor activities";"Married or cohabiting, youngest child aged 7-17";0.34;0.37;0.32;0.26;0.38;0.34
"16     Sports and outdoor activities";"Aged over 45, married or cohibiting, no children";0.41;0.49;0.52;0.27;0.36;0.42
"16     Sports and outdoor activities";"Aged over 45, single, no children";0.49;0.48;0.56;0.25;0.40;0.42
"17     Entertainment and culture";"Aged under 45, single, no children, living with parents";0.08;0.05;0.06;0.08;0.09;0.12
"17     Entertainment and culture";"Aged under 45, single, no children, living elsewhere";0.06;0.12;0.10;0.09;0.08;0.03
"17     Entertainment and culture";"Single parent";.;.;.;0.04;0.05;0.08
"17     Entertainment and culture";"Aged under 45, married or cohabiting, no children";0.06;0.10;0.04;0.05;0.06;0.05
"17     Entertainment and culture";"Married or cohabiting, youngest child aged 0-6";0.07;0.07;0.06;0.04;0.05;0.04
"17     Entertainment and culture";"Married or cohabiting, youngest child aged 7-17";0.06;0.05;0.08;0.05;0.05;0.07
"17     Entertainment and culture";"Aged over 45, married or cohibiting, no children";0.04;0.04;0.04;0.03;0.04;0.05
"17     Entertainment and culture";"Aged over 45, single, no children";0.04;0.05;0.05;0.03;0.05;0.05
"18     Reading";"Aged under 45, single, no children, living with parents";0.44;0.23;0.24;0.52;0.39;0.28
"18     Reading";"Aged under 45, single, no children, living elsewhere";0.42;0.33;0.21;0.49;0.41;0.33
"18     Reading";"Single parent";.;.;.;0.49;0.37;0.35
"18     Reading";"Aged under 45, married or cohabiting, no children";0.49;0.33;0.23;0.46;0.33;0.27
"18     Reading";"Married or cohabiting, youngest child aged 0-6";0.36;0.26;0.16;0.35;0.29;0.24
"18     Reading";"Married or cohabiting, youngest child aged 7-17";0.49;0.42;0.32;0.46;0.41;0.33
"18     Reading";"Aged over 45, married or cohibiting, no children";1.15;1.02;1.04;1.00;0.57;1.00
"18     Reading";"Aged over 45, single, no children";1.10;1.06;0.54;1.18;1.15;1.14
"19     Listening to radio";"Aged under 45, single, no children, living with parents";0.09;0.04;0.02;0.06;0.05;0.01
"19     Listening to radio";"Aged under 45, single, no children, living elsewhere";0.13;0.04;0.06;0.10;0.04;0.01
"19     Listening to radio";"Single parent";.;.;.;0.09;0.02;0.03
"19     Listening to radio";"Aged under 45, married or cohabiting, no children";0.08;0.03;0.00;0.06;0.03;0.01
"19     Listening to radio";"Married or cohabiting, youngest child aged 0-6";0.05;0.02;0.00;0.03;0.01;0.01
"19     Listening to radio";"Married or cohabiting, youngest child aged 7-17";0.09;0.04;0.02;0.05;0.03;0.01
"19     Listening to radio";"Aged over 45, married or cohibiting, no children";0.32;0.14;0.10;0.20;0.11;0.06
"19     Listening to radio";"Aged over 45, single, no children";0.47;0.31;0.21;0.43;0.22;0.21
"20     Watching television";"Aged under 45, single, no children, living with parents";1.58;2.28;1.51;1.39;2.13;1.47
"20     Watching television";"Aged under 45, single, no children, living elsewhere";1.32;2.30;1.52;1.26;1.43;1.23
"20     Watching television";"Single parent";.;.;.;1.21;1.47;1.04
"20     Watching television";"Aged under 45, married or cohabiting, no children";1.54;2.17;2.10;1.36;2.09;1.45
"20     Watching television";"Married or cohabiting, youngest child aged 0-6";1.38;1.55;1.34;1.12;1.31;1.14
"20     Watching television";"Married or cohabiting, youngest child aged 7-17";1.42;2.03;2.24;1.19;1.36;1.39
"20     Watching television";"Aged over 45, married or cohibiting, no children";2.12;2.43;2.53;1.51;2.18;2.21
"20     Watching television";"Aged over 45, single, no children";1.51;2.45;3.32;2.02;2.50;2.39
"21     Socialising with family";"Aged under 45, single, no children, living with parents";0.07;0.04;0.05;0.11;0.07;0.07
"21     Socialising with family";"Aged under 45, single, no children, living elsewhere";0.01;0.00;0.00;0.01;0.01;0.00
"21     Socialising with family";"Single parent";.;.;.;0.10;0.06;0.11
"21     Socialising with family";"Aged under 45, married or cohabiting, no children";0.09;0.11;0.08;0.11;0.13;0.08
"21     Socialising with family";"Married or cohabiting, youngest child aged 0-6";0.18;0.13;0.12;0.20;0.16;0.16
"21     Socialising with family";"Married or cohabiting, youngest child aged 7-17";0.16;0.10;0.07;0.19;0.14;0.12
"21     Socialising with family";"Aged over 45, married or cohibiting, no children";0.10;0.05;0.05;0.11;0.05;0.05
"21     Socialising with family";"Aged over 45, single, no children";0.03;0.00;0.00;0.03;0.01;0.00
"22     Socialising with friends";"Aged under 45, single, no children, living with parents";1.02;0.58;0.41;1.21;1.07;1.02
"22     Socialising with friends";"Aged under 45, single, no children, living elsewhere";1.35;1.22;1.04;1.38;1.22;1.16
"22     Socialising with friends";"Single parent";.;.;.;1.15;0.51;1.01
"22     Socialising with friends";"Aged under 45, married or cohabiting, no children";1.02;0.46;0.43;1.07;0.52;0.52
"22     Socialising with friends";"Married or cohabiting, youngest child aged 0-6";0.52;0.35;0.32;0.59;0.43;0.41
"22     Socialising with friends";"Married or cohabiting, youngest child aged 7-17";0.40;0.31;0.24;0.50;0.38;0.32
"22     Socialising with friends";"Aged over 45, married or cohibiting, no children";0.50;0.35;0.33;1.03;0.41;0.40
"22     Socialising with friends";"Aged over 45, single, no children";1.16;0.51;0.41;1.14;1.00;0.56
"23     Hobbies";"Aged under 45, single, no children, living with parents";0.47;1.34;2.35;0.55;1.05;1.54
"23     Hobbies";"Aged under 45, single, no children, living elsewhere";0.20;0.39;1.49;0.30;0.29;1.32
"23     Hobbies";"Single parent";.;.;.;0.21;0.22;0.44
"23     Hobbies";"Aged under 45, married or cohabiting, no children";0.13;0.32;1.23;0.20;0.20;0.56
"23     Hobbies";"Married or cohabiting, youngest child aged 0-6";0.08;0.13;0.36;0.12;0.12;0.27
"23     Hobbies";"Married or cohabiting, youngest child aged 7-17";0.11;0.16;0.39;0.17;0.13;0.28
"23     Hobbies";"Aged over 45, married or cohibiting, no children";0.16;0.16;0.44;0.31;0.24;0.40
"23     Hobbies";"Aged over 45, single, no children";0.16;0.18;0.39;0.32;0.31;0.38
"24     Other free time";"Aged under 45, single, no children, living with parents";0.21;0.20;0.21;0.17;0.21;0.21
"24     Other free time";"Aged under 45, single, no children, living elsewhere";0.19;0.19;0.13;0.13;0.15;0.12
"24     Other free time";"Single parent";.;.;.;0.22;0.16;0.06
"24     Other free time";"Aged under 45, married or cohabiting, no children";0.14;0.14;0.13;0.20;0.17;0.18
"24     Other free time";"Married or cohabiting, youngest child aged 0-6";0.16;0.14;0.15;0.13;0.16;0.14
"24     Other free time";"Married or cohabiting, youngest child aged 7-17";0.20;0.25;0.23;0.16;0.22;0.16
"24     Other free time";"Aged over 45, married or cohibiting, no children";0.44;0.42;0.29;0.33;0.31;0.22
"24     Other free time";"Aged over 45, single, no children";1.15;0.43;0.28;1.03;0.49;0.28
"25     Travel related to free time";"Aged under 45, single, no children, living with parents";0.54;0.40;0.37;0.48;0.45;0.42
"25     Travel related to free time";"Aged under 45, single, no children, living elsewhere";0.57;0.46;0.44;0.52;0.47;0.40
"25     Travel related to free time";"Single parent";.;.;.;0.22;0.32;0.25
"25     Travel related to free time";"Aged under 45, married or cohabiting, no children";0.36;0.41;0.41;0.35;0.38;0.28
"25     Travel related to free time";"Married or cohabiting, youngest child aged 0-6";0.27;0.24;0.22;0.24;0.24;0.24
"25     Travel related to free time";"Married or cohabiting, youngest child aged 7-17";0.32;0.26;0.19;0.26;0.25;0.21
"25     Travel related to free time";"Aged over 45, married or cohibiting, no children";0.27;0.26;0.29;0.25;0.24;0.24
"25     Travel related to free time";"Aged over 45, single, no children";0.27;0.19;0.29;0.24;0.23;0.25
